[2022-02-04 13:13:49:948][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 22558 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 13:13:49:953][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 13:13:49:1011][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 22559 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 13:13:49:1015][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 13:24:54:785][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 31391 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 13:24:54:789][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 13:25:31:800][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 31410 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 13:25:31:806][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 13:25:53:745][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 31433 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 13:25:53:750][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 13:25:59:6760][main] INFO  com.airov.NearSolutionApplication - Started NearSolutionApplication in 6.616 seconds (JVM running for 7.78)
[2022-02-04 13:28:08:720][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 31523 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 13:28:08:725][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 13:28:14:6869][main] INFO  com.airov.NearSolutionApplication - Started NearSolutionApplication in 6.718 seconds (JVM running for 8.064)
[2022-02-04 13:48:35:840][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 31950 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 13:48:35:843][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 13:48:42:7426][main] INFO  com.airov.NearSolutionApplication - Started NearSolutionApplication in 7.225 seconds (JVM running for 8.709)
[2022-02-04 13:52:55:754][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 32022 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 13:52:55:759][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 13:53:01:6579][main] INFO  com.airov.NearSolutionApplication - Started NearSolutionApplication in 6.414 seconds (JVM running for 7.664)
[2022-02-04 14:06:27:1050][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 32194 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 14:06:27:1055][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 14:06:34:8488][main] INFO  com.airov.NearSolutionApplication - Started NearSolutionApplication in 8.32 seconds (JVM running for 9.892)
[2022-02-04 15:09:45:962][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 34733 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 15:09:45:968][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 15:09:52:7904][main] INFO  com.airov.NearSolutionApplication - Started NearSolutionApplication in 7.706 seconds (JVM running for 9.552)
[2022-02-04 15:14:44:792][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 37730 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 15:14:44:797][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 15:14:51:7271][main] INFO  com.airov.NearSolutionApplication - Started NearSolutionApplication in 7.125 seconds (JVM running for 8.517)
